mag_ran;;ran_prob;F rand;mag_real;real_prob;F real;;mag_clast;clust_prob;F clust;;1-Fclust;;;mag_clast;;;
0.2;0.00335;3.35E-05;2.40E-02;0.2;0.00418;0.129917321;;0.2;0.0041465;0.130987632;4.19E-03;0.869012368;;;0.2;0.006808333;0.308502632;0.691497368
0.1;0.00303;3.03E-05;2.09E-02;0.1;0.00366;0.126257321;;0.1;0.0036297;0.127321268;3.67E-03;0.872678732;;;0.1;0.005655;0.302847632;0.697152368
0;0.00377;3.77E-05;1.72E-02;0;0.00377;0.122487321;;0;0.0037323;0.123551268;3.77E-03;0.876448732;;;0;0.00377;0.299077632;0.700922368
-0.1;0.00262;2.62E-05;1.45E-02;-0.1;0.00502;0.117467321;;-0.1;0.0049938;0.118507026;5.04E-03;0.881492974;;;-0.1;0.01262;0.286457632;0.713542368
-0.2;0.00282;2.82E-05;1.17E-02;-0.2;0.00241;0.115057321;;-0.2;0.0023818;0.116101167;2.41E-03;0.883898833;;;-0.2;0.001111667;0.285345965;0.714654035
-0.3;0.00366;3.66E-05;8.06E-03;-0.3;0.0046;0.110457321;;-0.3;0.0045634;0.111491672;4.61E-03;0.888508328;;;-0.3;0.007576667;0.277769299;0.722230702
-0.4;0.00126;1.26E-05;6.80E-03;-0.4;0.00554;0.104917321;;-0.4;0.0055274;0.10590844;5.58E-03;0.89409156;;;-0.4;0.019093333;0.258675965;0.741324035
-0.5;8.37E-04;8.37E-06;5.96E-03;-0.5;0.00408;0.100837321;;-0.5;0.004071632;0.101795681;4.11E-03;0.898204319;;;-0.5;0.01435007;0.244325895;0.755674105
-0.6;0.00136;1.36E-05;4.60E-03;-0.6;0.00764;0.093197321;;-0.6;0.0076264;0.094092246;7.70E-03;0.905907754;;;-0.6;0.027526667;0.216799229;0.783200772
-0.7;1.05E-04;1.05E-06;4.50E-03;-0.7;0.00544;0.087757321;;-0.7;0.005438954;0.088598354;5.49E-03;0.911401646;;;-0.7;0.022335424;0.194463805;0.805536195
-0.8;9.41E-04;9.41E-06;3.55E-03;-0.8;0.00523;0.082527321;;-0.8;0.005220586;0.083325035;5.27E-03;0.916674965;;;-0.8;0.018810494;0.175653311;0.824346689
-0.9;8.37E-04;8.37E-06;2.72E-03;-0.9;0.00533;0.077197321;;-0.9;0.005321632;0.077949649;5.38E-03;0.922050351;;;-0.9;0.019558403;0.156094908;0.843905093
-1;6.28E-04;6.28E-06;2.09E-03;-1;0.00492;0.072277321;;-1;0.004913724;0.072986291;4.96E-03;0.927013709;;;-1;0.018512553;0.137582355;0.862417645
-1.1;4.18E-04;4.18E-06;1.67E-03;-1.1;0.00397;0.068307321;;-1.1;0.003965816;0.068980417;4.01E-03;0.931019583;;;-1.1;0.015216702;0.122365653;0.877634347
;;0.00E+00;1.67E-03;-1.2;0.00523;0.063077321;;-1.2;0.00523;0.063697589;5.28E-03;0.936302411;;;-1.2;0.021791667;0.100573987;0.899426013
-1.3;6.28E-04;6.28E-06;1.04E-03;-1.3;0.00628;0.056797321;;-1.3;0.006273724;0.057360494;6.34E-03;0.942639506;;;-1.3;0.024179219;0.076394768;0.923605233
;;0.00E+00;1.04E-03;-1.4;0.00628;0.050517321;;-1.4;0.00628;0.051017059;6.34E-03;0.948982941;;;-1.4;0.026166667;0.050228101;0.949771899
-1.5;2.09E-04;2.09E-06;8.34E-04;-1.5;0.00481;0.045707321;;-1.5;0.004807908;0.046160587;4.86E-03;0.953839413;;;-1.5;0.019379184;0.030848917;0.969151083
;;0.00E+00;8.34E-04;-1.6;0.00356;0.042147321;;-1.6;0.00356;0.042564627;3.60E-03;0.957435373;;;-1.6;0.014833333;0.016015583;0.983984417
;;0.00E+00;8.34E-04;-1.7;0.00481;0.037337321;;-1.7;0.00481;0.037706041;4.86E-03;0.962293959;;;-1.7;0.020041667;-0.004026083;1.004026083
;;0.00E+00;8.34E-04;-1.8;0.00324;0.034097321;;-1.8;0.00324;0.034433314;3.27E-03;0.965566686;;;-1.8;0.0135;-0.017526083;1.017526083
;;0.00E+00;8.34E-04;-1.9;0.0045;0.029597321;;-1.9;0.0045;0.029887859;4.55E-03;0.970112141;;;-1.9;0.01875;-0.036276083;1.036276083
-2;2.09E-04;2.09E-06;6.25E-04;-2;0.00418;0.025417321;;-2;0.004177908;0.02566775;4.22E-03;0.97433225;;;-2;0.016754184;-0.053030267;1.053030268
-2.1;4.18E-04;4.18E-06;2.06E-04;-2.1;0.00397;0.021447321;;-2.1;0.003965816;0.021661876;4.01E-03;0.978338124;;;-2.1;0.015216702;-0.068246969;1.068246969
