,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,latitude,longitude,depth,EH1,EH2,AZ,EV,mag,ID
93,1984,12,22,15,37,43.213,38.79409,-122.77156,1.077,0.009,0.006,58,0.01,1.8,35303
94,1984,12,22,15,38,55.834,38.79555,-122.77118,1.215,0.011,0.006,30,0.01,2.7,35133
95,1984,12,22,15,47,57.04,38.78124,-122.77044,1.093,0.014,0.011,154,0.02,1.8,35135
96,1985,1,3,1,53,2.577,38.78911,-122.77357,1.818,0.01,0.006,152,0.011,1.7,39882
97,1985,1,6,18,16,43.84,38.78838,-122.77638,1.796,0.008,0.007,83,0.01,2.3,36457
98,1985,1,11,14,47,1.829,38.78399,-122.75644,1.476,0.016,0.008,15,0.012,1.7,37111
99,1985,1,12,13,16,47.443,38.80275,-122.77165,1.759,0.008,0.008,44,0.01,2.0,37182
100,1985,1,20,23,32,9.04,38.80277,-122.77013,2.096,0.007,0.006,26,0.009,1.7,38071
101,1985,1,22,23,32,15.52,38.7831,-122.76044,1.281,0.012,0.008,133,0.013,1.8,38452
102,1985,1,28,17,31,38.42,38.80055,-122.77184,1.683,0.015,0.013,149,0.019,1.8,1125475
103,1985,1,30,6,4,9.24,38.78044,-122.77634,2.22,0.011,0.009,72,0.015,2.4,39217
104,1985,1,31,3,12,26.285,38.78845,-122.77638,1.444,0.013,0.009,87,0.011,2.5,39377
105,1985,1,31,13,8,58.646,38.79583,-122.7502,1.684,0.007,0.005,50,0.008,2.2,42297
106,1985,2,2,2,43,55.195,38.80464,-122.77321,1.804,0.009,0.008,13,0.012,2.0,39847
107,1985,2,3,11,8,11.699,38.78363,-122.75658,1.142,0.016,0.012,167,0.022,1.6,1125598
108,1985,2,6,19,24,27.32,38.78033,-122.76751,1.093,0.007,0.005,56,0.007,2.2,40111
109,1985,2,7,13,42,55.21,38.79441,-122.75034,1.908,0.013,0.007,122,0.013,2.0,43059
110,1985,2,9,4,33,47.99,38.79146,-122.76953,0.815,0.009,0.007,58,0.011,2.2,40441
111,1985,2,11,6,12,13.171,38.80359,-122.77168,1.964,0.012,0.008,158,0.014,2.1,40631
112,1985,2,11,19,19,14.0,38.78729,-122.77502,1.969,0.012,0.007,62,0.009,2.1,40737
113,1985,2,16,14,30,25.72,38.78248,-122.77024,1.403,0.013,0.009,150,0.018,1.7,41095
114,1985,2,16,21,44,15.455,38.78234,-122.76269,1.012,0.008,0.007,77,0.009,2.7,41580
115,1985,2,19,10,7,22.793,38.78441,-122.75696,1.4,0.011,0.008,63,0.013,1.7,41304
116,1985,2,20,12,14,54.705,38.7853,-122.7727,2.079,0.007,0.006,79,0.01,1.6,41539
117,1985,2,20,17,26,45.309,38.7938,-122.77728,0.922,0.022,0.016,53,0.029,1.9,1126038
118,1985,2,21,4,31,50.127,38.79524,-122.74941,1.802,0.006,0.004,48,0.008,2.5,41629
119,1985,2,26,21,36,58.023,38.8042,-122.77226,1.898,0.009,0.006,34,0.01,2.3,42148
120,1985,2,28,19,39,34.98,38.79027,-122.7749,1.91,0.013,0.008,77,0.014,2.4,42587
121,1985,3,1,17,7,28.76,38.78529,-122.75822,1.482,0.01,0.006,177,0.008,2.1,42501
122,1985,3,2,5,9,15.29,38.80359,-122.77387,1.967,0.023,0.011,152,0.026,1.6,1126313
123,1985,3,6,14,11,49.979,38.79097,-122.77402,0.527,0.013,0.007,30,0.011,2.4,42979
124,1985,3,8,10,48,49.59,38.78554,-122.77347,1.282,0.019,0.011,146,0.047,1.9,1126469
125,1985,3,14,16,23,2.5,38.79087,-122.77746,0.67,0.02,0.017,116,0.03,2.0,44889
126,1985,3,20,3,11,11.71,38.79007,-122.77795,1.58,0.013,0.01,106,0.011,1.8,44331
127,1985,3,21,12,7,14.366,38.79304,-122.77209,4.27,0.01,0.008,116,0.019,1.8,44428
128,1985,3,23,4,39,42.39,38.78501,-122.7583,1.444,0.009,0.007,13,0.009,2.3,44560
129,1985,3,24,5,9,59.88,38.77862,-122.76682,1.331,0.014,0.009,118,0.017,2.0,45873
130,1985,3,25,7,37,18.275,38.78808,-122.77558,1.126,0.018,0.013,109,0.029,1.6,1126853
131,1985,3,31,1,10,17.973,38.78727,-122.77206,0.421,0.013,0.011,161,0.019,1.6,1127039
132,1985,4,8,16,1,53.185,38.78733,-122.77495,1.947,0.009,0.007,76,0.009,2.1,45656
133,1985,4,10,16,7,39.02,38.78498,-122.75847,1.454,0.011,0.007,146,0.011,2.2,46675
134,1985,4,13,10,16,1.18,38.79266,-122.7699,1.159,0.013,0.011,86,0.017,2.5,46217
135,1985,4,14,14,19,58.086,38.79579,-122.75086,1.636,0.006,0.005,62,0.007,2.2,46082
136,1985,4,29,13,17,55.399,38.79085,-122.77774,0.926,0.02,0.012,86,0.018,2.3,46772
137,1985,4,29,20,27,53.88,38.78944,-122.77437,2.079,0.009,0.007,70,0.009,1.8,46939
138,1985,4,30,19,54,30.368,38.79397,-122.77689,4.1,0.016,0.014,45,0.018,2.5,46986
